date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:10	211/211	---M--	302	error ('Found')	text/html	date:Mon,%2030%20Oct%202023%2020:34:34%20GMT	https://www.signatureglobal.in/pdf/the_millennia/notification/pdf/millennia8x10english.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/pdf/millennia8x10english.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:10	211/211	---M--	302	error ('Found')	text/html	date:Mon,%2030%20Oct%202023%2020:34:35%20GMT	https://www.signatureglobal.in/pdf/the_millennia/notification/hemillennia.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/hemillennia.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:10	8942674/8942674	---M--	200	added ('OK')	application/pdf	etag:%22887452-5d8ac70343f00%22	https://www.signatureglobal.in/pdf/the_millennia/notification/millennia%20hindi%2016x25.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/millennia%20hindi%2016x25.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:12	737401/737401	---M--	200	added ('OK')	application/pdf	etag:%22b4079-5d8ac6f9ba880%22	https://www.signatureglobal.in/pdf/the_millennia/notification/Millenia-Draw-Ad-12thjuly-eng.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/Millenia-Draw-Ad-12thjuly-eng.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:23	801077/801077	---M--	200	added ('OK')	application/pdf	etag:%22c3935-5d8ac6f9ba880%22	https://www.signatureglobal.in/pdf/the_millennia/notification/Millenia-Draw-Ad-12thjuly-hin.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/Millenia-Draw-Ad-12thjuly-hin.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:28	6594201/6594201	---M--	200	added ('OK')	application/pdf	etag:%22649e99-5d8ac7052c380%22	https://www.signatureglobal.in/pdf/the_millennia/notification/millennia-hindi.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/millennia-hindi.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:29	2757411/2757411	---M--	200	added ('OK')	application/pdf	etag:%222a1323-5d8ac708fcc80%22	https://www.signatureglobal.in/pdf/the_millennia/notification/The-Millennia-Draw%20Result%20Ad-26-07-18-Hindi-Dainik-Bhaskar.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/The-Millennia-Draw%20Result%20Ad-26-07-18-Hindi-Dainik-Bhaskar.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:29	5732593/5732593	---M--	200	added ('OK')	application/pdf	etag:%225778f1-5d8ac7052c380%22	https://www.signatureglobal.in/pdf/the_millennia/notification/millennia-english.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/millennia-english.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:31	791035/791035	---M--	200	added ('OK')	application/pdf	etag:%22c11fb-5d8ac70714800%22	https://www.signatureglobal.in/pdf/the_millennia/notification/The-Millennia-Cancellation-Ad-Hindi.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/The-Millennia-Cancellation-Ad-Hindi.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:33	93135/93135	---M--	200	added ('OK')	application/pdf	etag:%2216bcf-5d8ac6f9ba880%22	https://www.signatureglobal.in/pdf/the_millennia/notification/Millenia-2017-oct1.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/Millenia-2017-oct1.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:33	1251663/1251663	---M--	200	added ('OK')	application/pdf	etag:%2213194f-5d8ac6f9ba880%22	https://www.signatureglobal.in/pdf/the_millennia/notification/37D-Legal-Ad-English-4thmay.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/37D-Legal-Ad-English-4thmay.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:33	92393/92393	---M--	200	added ('OK')	application/pdf	etag:%22168e9-5d8ac6f9ba880%22	https://www.signatureglobal.in/pdf/the_millennia/notification/Millenia-2017-oct2.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/Millenia-2017-oct2.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:33	1800531/1800531	---M--	200	added ('OK')	application/pdf	etag:%221b7953-5d8ac6f9ba880%22	https://www.signatureglobal.in/pdf/the_millennia/notification/37D-Legal-Ad-Hindi-4thmay.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/37D-Legal-Ad-Hindi-4thmay.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:37	1250052/1250052	---M--	200	added ('OK')	application/pdf	etag:%22131304-5d8ac7052c380%22	https://www.signatureglobal.in/pdf/the_millennia/notification/MillenniaDra.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/MillenniaDra.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:54	1205641/1205641	---M--	200	added ('OK')	application/pdf	etag:%22126589-5d8ac6f9ba880%22	https://www.signatureglobal.in/pdf/the_millennia/notification/37DAd_16cmx25cm-01-07-17.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/37DAd_16cmx25cm-01-07-17.pdf	(from https://www.signatureglobal.in/the-millennia.php)
13:32:58	28513/28513	---M--	200	added ('OK')	image/jpeg	etag:%226f61-5d8ac6f7d2400%22	https://www.signatureglobal.in/pdf/the_millennia/notification/37DAd_24.9cmx20cm-01-07-17-min.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/37DAd_24.9cmx20cm-01-07-17-min.jpg	(from https://www.signatureglobal.in/the-millennia.php)
13:33:18	5994424/5994424	---M--	200	added ('OK')	application/pdf	etag:%225b77b8-5d8ac70ccd580%22	https://www.signatureglobal.in/pdf/the_millennia/notification/TOI-&-Mail-Today-Full-Page-Front-32-8cm-X-47-4cm.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/the_millennia/notification/TOI-&-Mail-Today-Full-Page-Front-32-8cm-X-47-4cm.pdf	(from https://www.signatureglobal.in/the-millennia.php)
